neighbourhood,room_type,price,minimum_nights,availability_365,accommodates,District,rental_type,license_disclosed
High Park North,Entire home/apt,100,28,0,2,Toronto,Short-term rental,No
South Parkdale,Entire home/apt,150,31,313,5,Toronto,Long-term rental,No
Little Portugal,Entire home/apt,469,28,0,10,Toronto,Short-term rental,No
Waterfront Communities The Island,Private room,104,180,365,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,145,28,221,4,Toronto,Short-term rental,No
High Park Swansea,Entire home/apt,142,28,224,4,Toronto,Short-term rental,No
South Riverdale,Entire home/apt,45,90,188,1,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,138,180,365,2,Toronto,Long-term rental,No
The Beaches,Entire home/apt,90,28,38,1,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,150,119,121,4,Toronto,Long-term rental,No
High Park Swansea,Entire home/apt,185,28,283,7,Toronto,Short-term rental,No
High Park Swansea,Entire home/apt,170,30,283,5,Toronto,Long-term rental,No
Wexford Maryvale,Entire home/apt,160,2,352,4,Scarborough,Short-term rental,Yes
Niagara,Entire home/apt,83,90,303,2,Toronto,Long-term rental,No
Roncesvalles,Entire home/apt,485,5,89,7,Toronto,Short-term rental,Yes
University,Private room,60,60,343,1,Toronto,Long-term rental,No
Waterfront Communities The Island,Private room,91,28,6,2,Toronto,Short-term rental,Yes
Rosedale Moore Park,Entire home/apt,126,28,365,2,Toronto,Short-term rental,No
Rosedale Moore Park,Private room,79,28,252,2,Toronto,Short-term rental,No
Bay Street Corridor,Entire home/apt,140,28,283,3,Toronto,Short-term rental,No
Rosedale Moore Park,Private room,105,28,252,2,Toronto,Short-term rental,No
Rosedale Moore Park,Private room,90,28,365,2,Toronto,Short-term rental,No
Church Yonge Corridor,Entire home/apt,150,28,160,3,Toronto,Short-term rental,No
Cabbagetown South St James Town,Private room,96,3,107,1,Toronto,Short-term rental,Yes
Niagara,Private room,55,91,0,2,Toronto,Long-term rental,No
Niagara,Private room,45,90,319,1,Toronto,Long-term rental,No
Niagara,Private room,45,90,220,1,Toronto,Long-term rental,No
Niagara,Private room,60,30,343,1,Toronto,Long-term rental,No
Niagara,Private room,40,60,344,1,Toronto,Long-term rental,No
Niagara,Private room,60,30,252,2,Toronto,Long-term rental,No
Rosedale Moore Park,Entire home/apt,160,30,253,3,Toronto,Long-term rental,No
High Park North,Entire home/apt,66,120,292,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,105,30,191,2,Toronto,Long-term rental,No
South Parkdale,Entire home/apt,128,31,104,2,Toronto,Long-term rental,No
Cabbagetown South St James Town,Entire home/apt,214,28,365,4,Toronto,Short-term rental,Yes
High Park Swansea,Entire home/apt,142,30,268,4,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,130,180,283,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,150,28,83,5,Toronto,Short-term rental,No
Niagara,Entire home/apt,73,95,107,2,Toronto,Long-term rental,No
Moss Park,Entire home/apt,139,28,0,1,Toronto,Short-term rental,No
Bay Street Corridor,Entire home/apt,104,30,194,2,Toronto,Long-term rental,No
Moss Park,Entire home/apt,79,31,284,2,Toronto,Long-term rental,No
Annex,Entire home/apt,86,28,40,4,Toronto,Short-term rental,No
South Riverdale,Entire home/apt,200,7,56,5,Toronto,Short-term rental,Yes
Bay Street Corridor,Entire home/apt,189,28,24,5,Toronto,Short-term rental,No
Trinity Bellwoods,Private room,144,3,76,2,Toronto,Short-term rental,Yes
Woburn,Entire home/apt,80,28,0,4,Scarborough,Short-term rental,No
Don Valley Village,Private room,55,1,37,2,North York,Short-term rental,Yes
Church Yonge Corridor,Entire home/apt,219,180,313,4,Toronto,Long-term rental,No
South Parkdale,Entire home/apt,92,28,0,2,Toronto,Short-term rental,No
Moss Park,Entire home/apt,300,28,0,4,Toronto,Short-term rental,No
Parkwoods Donalda,Entire home/apt,329,28,311,6,North York,Short-term rental,Yes
Humewood Cedarvale,Entire home/apt,207,28,0,3,York,Short-term rental,No
Junction Area,Entire home/apt,175,30,0,3,Toronto,Long-term rental,Yes
Rosedale Moore Park,Entire home/apt,520,28,221,6,Toronto,Short-term rental,No
Oakridge,Entire home/apt,88,14,214,2,Scarborough,Short-term rental,Yes
Little Portugal,Entire home/apt,300,28,363,4,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,134,1,24,4,Toronto,Short-term rental,Yes
Dovercourt Wallace Emerson Junction,Private room,120,2,18,2,Toronto,Short-term rental,Yes
High Park Swansea,Entire home/apt,80,30,0,2,Toronto,Long-term rental,No
Church Yonge Corridor,Private room,75,28,202,2,Toronto,Short-term rental,No
Junction Area,Entire home/apt,125,28,77,4,Toronto,Short-term rental,Yes
Cabbagetown South St James Town,Entire home/apt,311,7,68,3,Toronto,Short-term rental,Yes
Annex,Entire home/apt,170,28,227,2,Toronto,Short-term rental,No
Yonge St Clair,Private room,60,29,159,2,Toronto,Long-term rental,No
East End Danforth,Entire home/apt,93,28,61,2,Toronto,Short-term rental,No
Church Yonge Corridor,Private room,169,1,45,2,Toronto,Short-term rental,Yes
East End Danforth,Entire home/apt,118,28,262,6,Toronto,Short-term rental,No
Annex,Entire home/apt,74,28,98,2,Toronto,Short-term rental,No
Caledonia Fairbank,Entire home/apt,49,28,52,3,York,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,130,28,0,3,Toronto,Short-term rental,No
Niagara,Entire home/apt,105,30,0,2,Toronto,Long-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,187,28,104,6,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,221,3,317,2,Toronto,Short-term rental,Yes
Casa Loma,Entire home/apt,79,28,0,5,Toronto,Short-term rental,No
